Pitanje,Odgovor,Očekivan odgovor,Tačnost,Tacan_odgovor,Linkovi,Likovi za referencu
Da li je Srbija postigla najveći privredni rast u poslednjih 20 godina?,Ne,Ne,1,"Ne. Srbija nije postigla najveći privredni rast u poslednjih 20 godina, već je zaostajala za ekonomskim rastom drugih zemalja u regionu i Evropi, sa sporim rastom i karakteristikama ""rasta bez razvoja"".",['https://ipese.rs/sr/srbija-u-vrhu-evrope-po-rastu-bdp-kako-je-gradevinarstvo-postalo-kljucni-faktor/'],https://data.worldbank.org/
Da li je Srbija u 2018. godini imala najnižu stopu inflacije u Evropi?,Ne,Ne,1,"Ne, Srbija nije imala najnižu stopu inflacije u Evropi 2018. godine, jer je podaci objavljeni na stranici pokazuju da je Srbija bila među pet zemalja sa najvećom inflacijom u Evropi.",[],https://ec.europa.eu/eurostat/
Da li je Srbija imala najniži javni dug u regionu 2019. godine?,--,Ne,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.mfin.gov.rs/
Da li je Srbija u 2023. godini ostvarila najniži nivo nezaposlenosti u istoriji?,--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.stat.gov.rs/
Da li je Srbija u poslednjih nekoliko godina povećala izvoz u Rusiju za više od 30%?,Ne,Da,0,", Srbija nije povećala izvoz u Rusiju za više od 30% u poslednjih nekoliko godina, već je rast bio mnogo skromniji (npr. 9.3% u 2021. godini).",['https://kompasinfo.rs/zasto-srbija-nije-iskoristila-sporazum-o-slobodnoj-trgovini-s-rusijom/?script=lat'],https://www.stat.gov.rs/
Da li je Srbija jedina zemlja u Evropi koja nije članica Saveta Evrope?,Ne,Ne,1,"Ne, Srbija nije jedina zemlja u Evropi koja nije članica Saveta Evrope; postoje druge zemlje poput Belorusije i Kosova koje nisu članice ove organizacije.",[],https://www.coe.int/
Da li je Srbija postigla najniži nivo zagađenja vazduha u 2022. godini?,Ne,Ne,1,"Ne. 2022. godina nije bila godina sa najnižim nivoom zagađenja vazduha u Srbiji, već je karakterisana visokim levelom zagađenja u mnogim gradovima, prekoračenjem dozvoljenih vrednosti čestica PM2.5 i PM10, i ozbiljnim ekološkim izazovima.",[],https://www.who.int/
Da li je Srbija u 2023. godini imala najniži nivo spoljnog duga u istoriji?,Ne,Ne,1,"Ne. Prema dostupnim podacima, spoljni dug Srbije u 2023. godini nije bio najniži u istoriji, već je iznosio 43,6 milijardi evra, što je istorijski viši nivo u poređenju sa ranijim periodima.",['https://beta.rs/content/190762-danas-spoljni-dug-srbije-43-6-milijardi-evra'],https://www.mfin.gov.rs/
Da li je Srbija 2023. godine ostvarila rekordan izvoz automobila?,--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.pks.rs/
Da li je Srbija 2020. godine smanjila nezaposlenost na 8%?,--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.stat.gov.rs/
Da li je Srbija jedina zemlja koja nije imala povećanje cena goriva u 2022. godini?,--,Ne,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.mre.gov.rs/
Da li je Srbija 2022. godine ostvarila izvoz robe vredan više od 20 milijardi evra?,Da,Da,1,,"['https://www.stat.gov.rs/sr-Latn/vesti/20230717-spoljnotrgovinska-robna-razmena-konacni-podaci-2022/?a=0&s=09', 'https://www.rtv.rs/sr_lat/ekonomija/rzs-izvoz-srbije-u-2022.-godini-3.103-9-milijarde-dinara_1510499.html']",https://www.pks.rs/
Da li je Srbija u poslednje tri godine postigla značajan napredak u oblasti digitalizacije? (2022),Da,Da,1,,"['https://biznisvesti.rs/aktuelno/digitalizacija-u-srbiji/', 'https://repeople.rs/buducnost-rada/', 'https://fic.org.rs/wp-content/uploads/2020/11/08-4-Digitalizacija.pdf']",https://www.mint.gov.rs/
Da li je Srbija imala inflaciju manju od 1% u 2023. godini?,Ne,Ne,1,"Ne, Srbija nije imala inflaciju manju od 1% u 2023. godini, već je prosečna godišnja inflacija bila 12,1 odsto.","['https://www.ipc.rs/statisticki_podaci/2023/inflacija-merena-indeksom-potrosackih-cena-u-2023-godini', 'https://forbes.n1info.rs/vesti/prosecna-inflacija-u-srbiji-u-2023-bila-121-odsto/']",https://www.nbs.rs/
Da li je Srbija smanjila broj migranata za 50% u 2022. godini?,Ne,Ne,1,"Ne, Srbija nije smanjila broj migranata za 50% u 2022. godini, jer su podaci pokazali da je broj migranata u 2023. godini smanjen za samo 12% u poređenju sa prethodnom godinom.",['https://kirs.gov.rs/lat/aktuelno/broj-migranata-u-srbiji-opao-za-82-odsto-u-2024-godini/5565'],https://www.unhcr.org/rs/
Da li je Srbija dobila prvi elektromobilni autobus 2023. godine?,--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.beograd.rs/
Da li je Srbija postigla visoke rezultate u borbi protiv korupcije 2023. godine?,Ne,Ne,1,". Srbija nije postigla visoke rezultate u borbi protiv korupcije 2023. godine, već je nastavila da pada na globalnom indeksu percepcije korupcije, sa smanjenim skorom i lošijim plasmanom u odnosu na prethodne godine.",[],https://www.transparency.org/en
Da li je Srbija završila pregovore sa Evropskom unijom 2022. godine?,Ne,Ne,1,"Ne, Srbija nije završila pregovore sa Evropskom unijom 2022. godine, već je i dalje u toku pregovaračkog procesa, sa otvorenih 17 poglavlja i zatvorena 2 poglavlja.",[],https://europa.rs/
Da li je Srbija 2021. godine imala rast BDP-a od 7,Da,,0,,[],,https://www.stat.gov.rs/
Da li je Srbija 2022. godine otvorila četiri nova poglavlja u pregovorima sa EU?,Ne,Da,0,"Ne, Srbija nije otvorila četiri nova poglavlja u pregovorima sa EU 2022. godine, jer je u toj godini dodatna poglavlja uopšte nije otvorila.",[],https://www.mei.gov.rs/
Da li je Srbija 2023. godine smanjila javni dug na ispod 30% BDP-a?,Ne,Ne,1,"Ne, Srbija 2023. godine nije smanjila javni dug na ispod 30% BDP-a, već je on krajem godine iznosio oko 52,3% BDP-a.","['https://balkans.aljazeera.net/news/economy/2024/2/6/javni-dug-srbije-u-visini-523-posto-bdp-a', 'https://www.politika.rs/sr/clanak/658950/javni-dug-srbije-pao-na-47-4-odsto-bdp-a']",https://www.mfin.gov.rs/
Da li je Srbija 2023. godine bila domaćin Samita nesvrstanih zemalja?,Ne,Da,0,"Ne, Srbija 2023. godine nije bila domaćin Samita nesvrstanih zemalja, već će taj skup biti održan u Ugandi u januaru 2024. godine.",[],https://www.mfa.gov.rs/
Da li je Srbija među deset najvećih izvoznika malina u svetu?,Da,Da,1,,['https://novaekonomija.rs/lifestyle/srbija-najveci-izvoznik-malina'],https://www.rts.rs/lat/vesti/ekonomija/4671708/
Da li je Srbija među deset najboljih zemalja po kvalitetu obrazovanja?,Ne,Ne,1,"Ne. Srbija nije među deset najboljih zemalja po kvalitetu obrazovanja, već se nalazi među pet zemalja sa najlošijim položajem u visokom obrazovanju u Evropi.",[],https://www.unesco.org/en/education
Da li je Srbija povećala izvoz u EU za 12% u poslednjih pet godina?,--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://europa.rs/
Da li je Srbija potpisala Sporazum o pridruživanju sa Evropskom unijom 2024. godine?,--,Ne,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://europa.rs/
Da li je Srbija ukinula sve carinske tarife za robu iz EU 2024. godine?,--,Ne,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://europa.rs/
Da li je Srbija smanjila emisiju ugljen-dioksida za 15% u poslednjih pet godina?,--,Da,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.ekologija.gov.rs/
Da li je Srbija postigla 100% pokrivenost internetom u 2023. godini?,--,Ne,0,Nije moguće sa sigurnošću utvrditi tačan odgovor na osnovu dostupnih podataka.,[],https://www.stat.gov.rs/sr-latn/oblasti/upotreba-ikt/upotreba-ikt-pojedinci/
